,geo_id,geo_code,name,abbreviation,type_id
529,785,postal-45230,โพธิ์ชัย,45230,6
530,786,postal-45210,หนองพอก,45210,6
531,787,postal-45120,เสลภูมิ,45120,6
532,788,postal-45130,สุวรรณภูมิ,45130,6
533,789,postal-45220,เมืองสรวง,45220,6
534,790,postal-45240,โพนทราย,45240,6
535,791,postal-45160,อาจสามารถ,45160,6
536,792,postal-45250,เมยวดี,45250,6
537,793,postal-45000,ศรีสมเด็จ,45000,6
538,794,postal-45280,ศรีสมเด็จ,45280,6
539,795,postal-45000,จังหาร,45000,6
540,796,postal-45000,เชียงขวัญ,45000,6
541,797,postal-45170,เชียงขวัญ,45170,6
542,798,postal-45140,หนองฮี,45140,6
543,799,postal-45170,ทุ่งเขาหลวง,45170,6
544,800,postal-46000,เมืองกาฬสินธุ์,46000,6
545,801,postal-46230,นามน,46230,6
546,802,postal-46130,กมลาไสย,46130,6
547,803,postal-46210,ร่องคำ,46210,6
548,804,postal-46110,กุฉินารายณ์,46110,6
549,805,postal-46160,เขาวง,46160,6
550,806,postal-46120,ยางตลาด,46120,6
551,807,postal-46170,ห้วยเม็ก,46170,6
552,808,postal-46140,สหัสขันธ์,46140,6
553,809,postal-46180,คำม่วง,46180,6
554,810,postal-46190,ท่าคันโท,46190,6
555,811,postal-46220,หนองกุงศรี,46220,6
556,812,postal-46150,สมเด็จ,46150,6
557,813,postal-46240,ห้วยผึ้ง,46240,6
558,814,postal-46180,สามชัย,46180,6
559,815,postal-46160,นาคู,46160,6
560,816,postal-46000,ดอนจาน,46000,6
561,817,postal-46130,ฆ้องชัย,46130,6
562,818,postal-47000,เมืองสกลนคร,47000,6
563,819,postal-47220,เมืองสกลนคร,47220,6
564,820,postal-47230,เมืองสกลนคร,47230,6
565,821,postal-47210,กุสุมาลย์,47210,6
566,822,postal-47230,กุสุมาลย์,47230,6
567,823,postal-47180,กุดบาก,47180,6
568,824,postal-47130,พรรณานิคม,47130,6
569,825,postal-47220,พรรณานิคม,47220,6
570,826,postal-47160,พังโคน,47160,6
571,827,postal-47150,วาริชภูมิ,47150,6
572,828,postal-47270,นิคมน้ำอูน,47270,6
573,829,postal-47120,วานรนิวาส,47120,6
