รหัสสำนักทะเบียน/อำเภอ,จังหวัด/สำนักทะเบียน/อำเภอ ภาษาไทย,จังหวัด/สำนักทะเบียน/อำเภอ ภาษาอังกฤษ,ปีเดือนวันที่จำหน่าย
1898,ท้องถิ่นเทศบาลตำบลวัดสิงห์,Wat Sing Sub-district Municipality,0
1899,ท้องถิ่นเทศบาลเมืองชัยนาท,Chai Nat Town Municipality,0
1900,จังหวัดสระบุรี,Saraburi Province,0
1901,อำเภอเมืองสระบุรี,Mueang Saraburi District,0
1902,อำเภอแก่งคอย,Kaeng Khoi District,0
1903,อำเภอหนองแค,Nong Khae District,0
1904,อำเภอวิหารแดง,Wihan Daeng District,0
1905,อำเภอหนองแซง,Nong Saeng District,0
1906,อำเภอบ้านหมอ,Ban Mo District,0
1907,อำเภอดอนพุด,Don Phut District,0
1908,อำเภอหนองโดน,Nong Don District,0
1909,อำเภอพระพุทธบาท,Phra Phutthabat District,0
1910,อำเภอเสาไห้,Sao Hai District,0
1911,อำเภอมวกเหล็ก,Muak Lek District,0
1912,อำเภอวังม่วง,Wang Muang District,0
1913,อำเภอเฉลิมพระเกียรติ,Chaloem Phra Kiat District ,0
1974,ท้องถิ่นเทศบาลตำบลพุกร่าง,Phuk Rang Sub-district Municipality,0
1975,ท้องถิ่นเทศบาลตำบลคำพราน,Kham Phran Sub-district Municipality,0
1976,ท้องถิ่นเทศบาลตำบลไผ่ต่ำ,Phai Tam Sub-district Municipality,0
1977,ท้องถิ่นเทศบาลตำบลตะกุด,Ta Kut Sub-district Municipality,0
1978,ท้องถิ่นเทศบาลตำบลกุดนกเปล้า,Kut Nok Plao Sub-district Municipality,0
1979,ท้องถิ่นเทศบาลตำบลหน้าพระลาน,Na Phra Lan Sub-district Municipality,0
1980,ท้องถิ่นเทศบาลตำบลวังม่วง,Wang Muang Sub-district Municipality,0
1981,ท้องถิ่นเทศบาลตำบลมวกเหล็ก,Muak Lek Sub-district Municipality,0
1982,ท้องถิ่นเทศบาลตำบลเสาไห้,Sao Hai Sub-district Municipality,0
1983,ท้องถิ่นเทศบาลตำบลสวนดอกไม้,Suan Dokmai Sub-district Municipality,0
1984,ท้องถิ่นเทศบาลตำบลบ้านยาง,Ban Yang Sub-district Municipality,0
1985,ท้องถิ่นเทศบาลตำบลหนองโดน,Nong Don Sub-district Municipality,0
1986,ท้องถิ่นเทศบาลตำบลดอนพุด,Don Phut Sub-district Municipality,0
1987,ท้องถิ่นเทศบาลตำบลบ้านหมอ,Ban Mo Sub-district Municipality,0
1988,ท้องถิ่นเทศบาลตำบลท่าลาน,Tha Lan Sub-district Municipality,0
1989,ท้องถิ่นเทศบาลตำบลหนองแซง,Nongsaeng Sub-district Municipality,0
1990,ท้องถิ่นเทศบาลตำบลหนองหมู,Nong Mu Sub-district Municipality,0
1991,ท้องถิ่นเทศบาลตำบลวิหารแดง,Wihan Daeng Sub-district Municipality,0
1992,ท้องถิ่นเทศบาลตำบลหินกอง,Hin Kong Sub-district Municipality,0
1993,ท้องถิ่นเทศบาลตำบลคชสิทธิ์,Khotcha Sit Sub-district Municipality,0
1994,ท้องถิ่นเทศบาลเมืองทับกวาง,Thap Kwang Town Municipality,0
1995,ท้องถิ่นเทศบาลตำบลป๊อกแป๊ก,Pok Paek Sub-district Municipality,0
1996,ท้องถิ่นเทศบาลเมืองพระพุทธบาท,Phra Phutthabat Town Municipality,0
1997,ท้องถิ่นเทศบาลตำบลหนองแค,Nong Khae Sub-district Municipality,0
1998,ท้องถิ่นเทศบาลเมืองแก่งคอย,Kaeng Khoi Town Municipality,0
1999,ท้องถิ่นเทศบาลเมืองสระบุรี,Saraburi Town Municipality,0
2000,จังหวัดชลบุรี,Chon Buri Province,0
2001,อำเภอเมืองชลบุรี,Mueang Chon Buri District,0
2002,อำเภอบ้านบึง,Ban Bueng District,0
2003,อำเภอหนองใหญ่,Nong Yai District,0
2004,อำเภอบางละมุง,Bang Lamung District,0
2005,อำเภอพานทอง,Phan Thong District,0
2006,อำเภอพนัสนิคม,Phanat Nikhom District,0
2007,อำเภอศรีราชา,Si Racha District,0
